,날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,월
0,2018-04-01 01,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.032,0.032,47.0,20.0,4
1,2018-04-01 02,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.025,0.036000000000000004,46.0,21.0,4
2,2018-04-01 03,서울 종로구 ,종로구,111123,0.006999999999999999,0.6,0.022000000000000002,0.036000000000000004,49.0,24.0,4
3,2018-04-01 04,서울 종로구 ,종로구,111123,0.008,0.6,0.019,0.039,50.0,24.0,4
4,2018-04-01 05,서울 종로구 ,종로구,111123,0.008,0.7,0.008,0.053,50.0,26.0,4
5,2018-04-01 06,서울 종로구 ,종로구,111123,0.008,0.7,0.004,0.055,49.0,24.0,4
6,2018-04-01 07,서울 종로구 ,종로구,111123,0.008,0.7,0.006,0.053,51.0,27.0,4
7,2018-04-01 08,서울 종로구 ,종로구,111123,0.008,0.7,0.013000000000000001,0.047,52.0,25.0,4
8,2018-04-01 09,서울 종로구 ,종로구,111123,0.008,0.6,0.022000000000000002,0.042,65.0,25.0,4
9,2018-04-01 10,서울 종로구 ,종로구,111123,0.008,0.5,0.04,0.03,61.0,21.0,4
10,2018-04-01 11,서울 종로구 ,종로구,111123,0.01,0.5,0.047,0.026000000000000002,57.0,20.0,4
11,2018-04-01 12,서울 종로구 ,종로구,111123,0.008,0.5,0.051,0.024,54.0,21.0,4
12,2018-04-01 13,서울 종로구 ,종로구,111123,0.006999999999999999,0.4,0.052000000000000005,0.021,52.0,22.0,4
13,2018-04-01 14,서울 종로구 ,종로구,111123,0.006,0.4,0.048,0.02,46.0,24.0,4
14,2018-04-01 15,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.042,0.025,50.0,29.0,4
15,2018-04-01 16,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.040999999999999995,0.024,59.0,32.0,4
16,2018-04-01 17,서울 종로구 ,종로구,111123,0.006,0.5,0.043,0.021,61.0,33.0,4
17,2018-04-01 18,서울 종로구 ,종로구,111123,0.006,0.5,0.035,0.027999999999999997,66.0,38.0,4
18,2018-04-01 19,서울 종로구 ,종로구,111123,0.006,0.5,0.036000000000000004,0.025,73.0,35.0,4
19,2018-04-01 20,서울 종로구 ,종로구,111123,0.006,0.4,0.032,0.026000000000000002,66.0,33.0,4
20,2018-04-01 21,서울 종로구 ,종로구,111123,0.006,0.4,0.032,0.025,76.0,34.0,4
21,2018-04-01 22,서울 종로구 ,종로구,111123,0.005,0.5,0.031,0.026000000000000002,76.0,33.0,4
22,2018-04-01 23,서울 종로구 ,종로구,111123,0.006,0.5,0.034,0.024,71.0,31.0,4
23,2018-04-01 24,서울 종로구 ,종로구,111123,0.006,0.5,0.034,0.025,65.0,28.0,4
24,2018-04-02 01,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.033,0.025,70.0,28.0,4
25,2018-04-02 02,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.04,0.018000000000000002,70.0,26.0,4
26,2018-04-02 03,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.042,0.015,64.0,25.0,4
27,2018-04-02 04,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.040999999999999995,0.013999999999999999,64.0,26.0,4
28,2018-04-02 05,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.028999999999999998,0.022000000000000002,66.0,27.0,4
29,2018-04-02 06,서울 종로구 ,종로구,111123,0.006999999999999999,0.5,0.025,0.028999999999999998,64.0,27.0,4
30,2018-04-02 07,서울 종로구 ,종로구,111123,0.006999999999999999,0.6,0.006999999999999999,0.05,58.0,27.0,4
31,2018-04-02 08,서울 종로구 ,종로구,111123,0.006999999999999999,0.6,0.009000000000000001,0.05,60.0,25.0,4
32,2018-04-02 09,서울 종로구 ,종로구,111123,0.006999999999999999,0.7,0.012,0.051,59.0,27.0,4
33,2018-04-02 10,서울 종로구 ,종로구,111123,0.006999999999999999,0.6,0.017,0.049,59.0,25.0,4
34,2018-04-02 11,서울 종로구 ,종로구,111123,0.009000000000000001,0.6,0.027000000000000003,0.038,57.0,27.0,4
35,2018-04-02 12,서울 종로구 ,종로구,111123,0.009000000000000001,0.6,0.033,0.034,55.0,24.0,4
